slice,denoiser,psnr,ssim,leakage_corr,grad_ratio,residual_std
85,Gaussian,18.550425752671842,0.6206638402747177,0.07832341989461368,1.2808264816828474,0.03401697427034378
85,NLM,18.318572391310973,0.5313542578687761,0.1070913220767317,0.3979344133724407,0.017218133434653282
85,DnCNN,30.990529053373397,0.8671480261047398,0.671540898490462,4.852600019374457,0.09751200675964355
85,UNet,32.184693419014096,0.8707395803484655,0.6991653585744024,5.141311102529801,0.09848267585039139
85,UNet+Leakage,24.96634467671203,0.8378815963361431,0.6813592458352961,6.684280447179816,0.08035540580749512
86,Gaussian,18.512297168348564,0.6206278184383656,0.07830715165926053,1.2828743055050225,0.0340576246380806
86,NLM,18.285322254101068,0.531918564809696,0.10718652156826769,0.40130594868337327,0.017297737300395966
86,DnCNN,30.986038222814017,0.8673597434321537,0.6733624942473573,4.836712762856595,0.09773356467485428
86,UNet,32.14623767480547,0.8704406126703135,0.7007559518135604,5.097282591548295,0.09857148677110672
86,UNet+Leakage,24.909710662690244,0.8373057116942385,0.6823980480509843,6.6788489458889515,0.08016389608383179
87,Gaussian,18.469953773202768,0.6201320947660736,0.07848169221994374,1.2792862184042215,0.03409377112984657
87,NLM,18.238862452853958,0.5306774527988288,0.10718394919282902,0.3932880019042558,0.017118658870458603
87,DnCNN,31.091909223826633,0.867954196107447,0.6755085965968207,4.781906250287259,0.09781760722398758
87,UNet,32.15737097473885,0.8711401061055647,0.7019567324333912,5.0546042243908005,0.09878548979759216
87,UNet+Leakage,24.925841412740525,0.8377468373753548,0.6838123522982115,6.612270731939603,0.08035093545913696
88,Gaussian,18.427478833735634,0.6187638776936605,0.07872859457181386,1.278040888422263,0.034169092774391174
88,NLM,18.20121829555258,0.5300845297588256,0.10691627553819372,0.3966142306929275,0.01726326160132885
88,DnCNN,31.002927956872497,0.8673215131605364,0.6772659905640042,4.772100704962127,0.09842587262392044
88,UNet,32.11935512217839,0.8708196253978189,0.702951416916259,5.040484739707755,0.09914103150367737
88,UNet+Leakage,24.793858198967534,0.8363582105700802,0.6840321805349179,6.599940937264037,0.08029379695653915
89,Gaussian,18.392940344594464,0.6190523706632989,0.07865119125618213,1.281461111469863,0.03422560170292854
89,NLM,18.167322369019963,0.5300201430235801,0.10722730381223769,0.3945120590017007,0.017217785120010376
89,DnCNN,30.742049285046274,0.8670103401896043,0.6786470246611734,4.763904128937607,0.09920503199100494
89,UNet,32.20711339331458,0.8709422550730171,0.7051053687367763,5.0377781030006545,0.09942229092121124
89,UNet+Leakage,24.803255636314123,0.8358578165815818,0.6847943154968906,6.603752432246789,0.0801774263381958
90,Gaussian,18.359065412695138,0.6198496422509863,0.07846395152155261,1.285777214616928,0.03428465873003006
90,NLM,18.135033606701402,0.5299911929863323,0.10716115327161924,0.3951714707082264,0.01724107936024666
90,DnCNN,31.132333690855056,0.8675309237679925,0.6816945668412805,4.748439096948761,0.09896840900182724
90,UNet,32.26613092486855,0.8709551429715457,0.7068127592797165,5.033159285722104,0.09947486221790314
90,UNet+Leakage,24.78377037129294,0.8362126211694947,0.68529501663753,6.614235008585044,0.08021102100610733
91,Gaussian,18.321031612324703,0.6190500532623959,0.07860731625879036,1.2823752021603627,0.03429606929421425
91,NLM,18.095667268197644,0.5280433967250299,0.10736441212519038,0.38812029413439847,0.01705927401781082
91,DnCNN,31.075666186234248,0.8669963637760345,0.6829930240843729,4.761084503366778,0.0992264598608017
91,UNet,32.29018500335593,0.8706670673010837,0.707986156937815,5.032982561684842,0.0996183380484581
91,UNet+Leakage,24.599369000176697,0.8353567982852745,0.6860927158489102,6.650413218166353,0.0797683522105217
92,Gaussian,18.284619825463498,0.6186916295724332,0.07861823884911665,1.2824062553252722,0.03431988134980202
92,NLM,18.06739220310043,0.5295322723307453,0.10701862910732496,0.39819228064473555,0.017338359728455544
92,DnCNN,31.0051104416958,0.8673225212717648,0.6843757161716653,4.777365104026889,0.09948132932186127
92,UNet,32.34353596854875,0.8710424168927777,0.7094497587736828,5.043854349193971,0.09974575787782669
92,UNet+Leakage,24.53507345727552,0.8359773625990701,0.6869058432547467,6.699912615799451,0.07973227649927139
93,Gaussian,18.24542806469102,0.6185705383855833,0.07841815163902163,1.2811649283137219,0.034259822219610214
93,NLM,18.03011491034954,0.5291298332805715,0.10706266652188558,0.39506207167349866,0.017224088311195374
93,DnCNN,31.058794612896648,0.8675090062081131,0.686363360839183,4.781458619875204,0.0993589237332344
93,UNet,32.32621482296301,0.8710346128660943,0.7118754274597336,5.048848575356798,0.0997839942574501
93,UNet+Leakage,24.58375339742878,0.8362438638047656,0.6883496258809165,6.665160160220914,0.07988493889570236
94,Gaussian,18.20642200252006,0.6191282825178894,0.07833770818486141,1.2799526455729844,0.034195538610219955
94,NLM,17.994738478813225,0.5297074019643646,0.10676020519884521,0.39360027448820534,0.01715988852083683
94,DnCNN,30.836370374177346,0.866866000505528,0.6875482798700407,4.7600093191579065,0.09971572458744049
94,UNet,32.313532739667,0.8706372849050766,0.713588782849969,5.025100403414865,0.09990525990724564
94,UNet+Leakage,24.437987688430148,0.8357245035680734,0.689744031716399,6.643149182558011,0.0794575959444046
95,Gaussian,18.165260411756577,0.6189680537992295,0.07846007508790895,1.282258720156337,0.034262385219335556
95,NLM,17.95373264751017,0.5283325447769632,0.10701465259044025,0.3921001067172012,0.017145374789834023
95,DnCNN,30.622368359614057,0.8667509756196026,0.6885891682876998,4.752724963212295,0.10028102993965149
95,UNet,32.25666444432799,0.8707099185701053,0.7145628985675102,5.018549741174937,0.1001988872885704
95,UNet+Leakage,24.377727498236098,0.83600742838233,0.68957752750747,6.660076522703317,0.07937165349721909
96,Gaussian,18.122023032733207,0.6178087760613025,0.07866756680697212,1.2812931285802882,0.03428792208433151
96,NLM,17.910896890522988,0.5275316594924323,0.10692890292670501,0.3918934568991251,0.01716032065451145
96,DnCNN,30.722620262766995,0.8668307809525374,0.6906095644634455,4.755071535373537,0.10036381334066391
96,UNet,32.204318227209974,0.8704429154728127,0.7156882228551075,5.0199252161627195,0.10034928470849991
96,UNet+Leakage,24.37566508151985,0.8357530017382966,0.6901149003602228,6.640547226650047,0.07958132773637772
97,Gaussian,18.078948453380164,0.6157233481391396,0.07880915761530634,1.2771030508619798,0.03430867940187454
97,NLM,17.86839975642937,0.5252116935029166,0.10738508858414846,0.3858535039236517,0.01701335608959198
97,DnCNN,30.81776965286874,0.8655887567795167,0.6925596498770634,4.763986668519861,0.1004531979560852
97,UNet,32.201677904418325,0.8696141378848191,0.717424147657826,5.040726539107823,0.10062165558338165
97,UNet+Leakage,24.289480259692123,0.8341739194121481,0.6905111207236296,6.655105292207717,0.07962940633296967
98,Gaussian,18.04374761397692,0.6162562309677637,0.07855036009441865,1.2802546982308713,0.03431190550327301
98,NLM,17.841335093061538,0.5271512508976084,0.10720806705318768,0.39472353884123434,0.017236601561307907
98,DnCNN,30.541270741935044,0.8657115326563242,0.6937604510765515,4.748853474514101,0.10101505368947983
98,UNet,32.23943380783264,0.8698540178247934,0.7192382108164541,5.0118086009477825,0.1008710190653801
98,UNet+Leakage,24.200470625879653,0.8339910521174988,0.6912677878142318,6.658003414142487,0.07924970239400864
99,Gaussian,18.014598342532985,0.6165035368088011,0.07865567374566543,1.2788808878925035,0.0343434177339077
99,NLM,17.813277763752996,0.5274609385208618,0.10745117497418954,0.3962461820559039,0.017294371500611305
99,DnCNN,30.950586657428456,0.8669133155705305,0.696533922246955,4.723482289342955,0.10097935795783997
99,UNet,32.305939707928225,0.8705661787714783,0.7206481359934044,4.982139248268874,0.10112839192152023
99,UNet+Leakage,24.196618211090318,0.8346723686359413,0.6912455336095628,6.620512283802726,0.0792173370718956
